Rebalance(time=1481551470222400316, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551489728002606, exchange='IEX', name='VXX', holding=0, fairvalue=25.92, Profit=0.0)
Rebalance(time=1481551489728103419, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551508599437171, exchange='IEX', name='VXX', holding=0, fairvalue=25.965000000000003, Profit=0.0)
Rebalance(time=1481551557286622127, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551557287961599, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551557288346102, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481551557290632543, exchange='IEX', name='VXX', holding=0, fairvalue=25.91, Profit=0.0)
Rebalance(time=1481551557796561776, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481551557798861310, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551558298580293, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551575857971803, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551575860269012, exchange='IEX', name='VXX', holding=0, fairvalue=25.94, Profit=0.0)
Rebalance(time=1481551576716369151, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551576718659612, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551735920791279, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481551735921121163, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551938013654475, exchange='IEX', name='VXX', holding=0, fairvalue=25.93, Profit=0.0)
Rebalance(time=1481551938013921303, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551938014427499, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552007865486032, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552007867796344, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552012242064601, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552012244316476, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552071807617900, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552071809935795, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552072328103808, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552072330322329, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552091425539476, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552091427799901, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552091432040376, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552091433360350, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552091434442535, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552091435658049, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552091438583465, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552091440712790, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552091441321223, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552091444251370, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552091452724468, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552091454954663, exchange='IEX', name='VXX', holding=0, fairvalue=26.01, Profit=0.0)
Rebalance(time=1481552095111546426, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481552095113786756, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552135584616614, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552135586519656, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481552135587060124, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552135588793229, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552135603243842, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552135603301242, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552135605248968, exchange='IEX', name='VXX', holding=0, fairvalue=28.384999999999998, Profit=0.0)
Rebalance(time=1481552135606351591, exchange='IEX', name='VXX', holding=0, fairvalue=25.94, Profit=0.0)
Rebalance(time=1481552136157656533, exchange='IEX', name='VXX', holding=0, fairvalue=25.94, Profit=0.0)
Rebalance(time=1481552136159915995, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552138567572626, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552138569804626, exchange='IEX', name='VXX', holding=0, fairvalue=25.92, Profit=0.0)
Rebalance(time=1481552139605673241, exchange='IEX', name='VXX', holding=0, fairvalue=25.92, Profit=0.0)
Rebalance(time=1481552139607890178, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552189045917768, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552189048169018, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552190029954414, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552190032229469, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552195716444160, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552195718654222, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552195722923069, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552195725102193, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552196163790017, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552196165956771, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552196168224013, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552196168630346, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552196170412155, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552196171245537, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552196171996445, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552196174842462, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552196274256361, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552196275454527, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481552196276411314, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552196277548149, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552196675356442, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552196677491371, exchange='IEX', name='VXX', holding=0, fairvalue=26.01, Profit=0.0)
Rebalance(time=1481552196953851557, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
