currency,time,bid,ask
EUR/GBP,20190101 22:06:24.314,0.89711,0.90169
EUR/GBP,20190101 22:06:24.319,0.89738,0.9017
EUR/GBP,20190101 22:06:24.328,0.8974,0.9017
EUR/GBP,20190101 22:06:24.330,0.89749,0.90171
EUR/GBP,20190101 22:06:24.331,0.89738,0.9017
EUR/GBP,20190101 22:06:24.387,0.89749,0.90171
EUR/GBP,20190101 22:06:24.397,0.8975,0.90171
EUR/GBP,20190101 22:06:24.460,0.8974,0.9017
EUR/GBP,20190101 22:06:24.466,0.89744,0.90173
EUR/GBP,20190101 22:06:24.520,0.89744,0.90171
EUR/GBP,20190101 22:06:24.526,0.89744,0.90173
EUR/GBP,20190101 22:06:24.530,0.89738,0.9017
EUR/GBP,20190101 22:06:24.537,0.8974,0.9017
EUR/GBP,20190101 22:06:24.538,0.89738,0.9017
EUR/GBP,20190101 22:06:24.594,0.89713,0.9017
EUR/GBP,20190101 22:06:24.596,0.8974,0.9017
EUR/GBP,20190101 22:06:24.607,0.89738,0.9017
EUR/GBP,20190101 22:06:24.611,0.89749,0.90171
EUR/GBP,20190101 22:06:24.613,0.89716,0.9017
EUR/GBP,20190101 22:06:24.668,0.89739,0.90173
EUR/GBP,20190101 22:06:24.672,0.89738,0.9017
EUR/GBP,20190101 22:06:24.741,0.8974,0.9017
EUR/GBP,20190101 22:06:24.745,0.89744,0.90171
EUR/GBP,20190101 22:06:24.748,0.89713,0.9017
EUR/GBP,20190101 22:06:24.750,0.89711,0.90169
EUR/GBP,20190101 22:06:24.753,0.89744,0.90173
EUR/GBP,20190101 22:06:24.756,0.89716,0.9017
EUR/GBP,20190101 22:06:24.758,0.89744,0.90171
EUR/GBP,20190101 22:06:24.816,0.8974,0.9017
EUR/GBP,20190101 22:06:24.824,0.89744,0.90173
EUR/GBP,20190101 22:06:24.829,0.8974,0.9017
EUR/GBP,20190101 22:06:24.886,0.89744,0.90171
EUR/GBP,20190101 22:06:24.896,0.89743,0.90173
EUR/GBP,20190101 22:06:24.904,0.89744,0.90171
EUR/GBP,20190101 22:06:24.962,0.89738,0.9017
EUR/GBP,20190101 22:06:24.969,0.8974,0.9017
EUR/GBP,20190101 22:06:24.973,0.89711,0.90169
EUR/GBP,20190101 22:06:24.977,0.89741,0.90173
EUR/GBP,20190101 22:06:24.981,0.89711,0.90169
EUR/GBP,20190101 22:06:25.036,0.89738,0.9017
EUR/GBP,20190101 22:06:25.043,0.89744,0.90173
EUR/GBP,20190101 22:06:25.046,0.89744,0.90171
EUR/GBP,20190101 22:06:25.050,0.89711,0.90169
EUR/GBP,20190101 22:06:25.053,0.89749,0.90171
EUR/GBP,20190101 22:06:25.113,0.8974,0.9017
EUR/GBP,20190101 22:06:25.124,0.89711,0.90169
EUR/GBP,20190101 22:06:25.178,0.89744,0.90171
EUR/GBP,20190101 22:06:25.182,0.89712,0.9017
EUR/GBP,20190101 22:06:25.184,0.8974,0.9017
EUR/GBP,20190101 22:06:25.187,0.89738,0.9017
EUR/GBP,20190101 22:06:25.191,0.89713,0.9017
EUR/GBP,20190101 22:06:25.246,0.8974,0.9017
EUR/GBP,20190101 22:06:25.250,0.89738,0.9017
EUR/GBP,20190101 22:06:25.255,0.89749,0.90171
EUR/GBP,20190101 22:06:25.258,0.8974,0.9017
EUR/GBP,20190101 22:06:25.262,0.89741,0.90173
EUR/GBP,20190101 22:06:25.316,0.8974,0.9017
EUR/GBP,20190101 22:06:25.320,0.89738,0.9017
EUR/GBP,20190101 22:06:25.324,0.89744,0.90171
EUR/GBP,20190101 22:06:25.328,0.8974,0.9017
EUR/GBP,20190101 22:06:25.331,0.89749,0.90171
EUR/GBP,20190101 22:06:25.399,0.8974,0.9017
EUR/GBP,20190101 22:06:25.407,0.89744,0.90173
EUR/GBP,20190101 22:06:25.413,0.89744,0.90171
EUR/GBP,20190101 22:06:25.468,0.89712,0.9017
EUR/GBP,20190101 22:06:25.472,0.89711,0.90169
EUR/GBP,20190101 22:06:25.474,0.89738,0.9017
EUR/GBP,20190101 22:06:25.479,0.89744,0.90171
EUR/GBP,20190101 22:06:25.482,0.89716,0.90172
EUR/GBP,20190101 22:06:25.536,0.89711,0.90169
EUR/GBP,20190101 22:06:25.538,0.89738,0.9017
EUR/GBP,20190101 22:06:25.545,0.89744,0.90173
EUR/GBP,20190101 22:06:25.599,0.89713,0.9017
EUR/GBP,20190101 22:06:25.608,0.89712,0.9017
EUR/GBP,20190101 22:06:25.612,0.89738,0.9017
EUR/GBP,20190101 22:06:25.669,0.89739,0.9017
EUR/GBP,20190101 22:06:25.674,0.89749,0.90171
EUR/GBP,20190101 22:06:25.679,0.89711,0.90169
EUR/GBP,20190101 22:06:25.680,0.89738,0.9017
EUR/GBP,20190101 22:06:25.742,0.89717,0.9017
EUR/GBP,20190101 22:06:25.746,0.89749,0.90171
EUR/GBP,20190101 22:06:25.752,0.89711,0.90169
EUR/GBP,20190101 22:06:25.807,0.89738,0.9017
EUR/GBP,20190101 22:06:25.810,0.89744,0.90173
EUR/GBP,20190101 22:06:25.879,0.8975,0.90171
EUR/GBP,20190101 22:06:25.892,0.8974,0.9017
EUR/GBP,20190101 22:06:25.896,0.89711,0.90169
EUR/GBP,20190101 22:06:25.898,0.89744,0.90173
EUR/GBP,20190101 22:06:25.903,0.89738,0.9017
EUR/GBP,20190101 22:06:25.965,0.89713,0.9017
EUR/GBP,20190101 22:06:25.969,0.8974,0.9017
EUR/GBP,20190101 22:06:25.980,0.89744,0.90173
EUR/GBP,20190101 22:06:26.036,0.89713,0.9017
EUR/GBP,20190101 22:06:26.045,0.89749,0.90171
EUR/GBP,20190101 22:06:26.051,0.89744,0.90173
EUR/GBP,20190101 22:06:26.055,0.89744,0.90171
EUR/GBP,20190101 22:06:26.108,0.89744,0.90173
EUR/GBP,20190101 22:06:26.115,0.89738,0.9017
EUR/GBP,20190101 22:06:26.119,0.89739,0.90172
